Date,Out,In
2020-01-01, 3.46, 2.85
2020-01-02, 3.52, 3.09
2020-01-03, 5.52, 4.22
2020-01-04, 6.10, 4.45
2020-01-05, 5.32, 5.08
2020-01-06, 5.60, 4.31
2020-01-07, 6.41, 4.25
2020-01-08, 7.34, 4.47 
2020-01-09, 8.14, 4.81
2020-01-10, 6.62, 4.60
2020-01-11, 7.56, 4.64
2020-01-12, 6.22, 4.37
2020-01-13, 5.76, 4.83
2020-01-14, 5.46, 4.08
2020-01-15, 5.91, 4.06
2020-01-16, 6.00, 4.00
2020-01-17, 6.44, 4.40
2020-01-18, 7.71, 4.23
2020-01-19, 7.41, 4.15
2020-01-20, 8.31, 4.18
2020-01-21, 10.74, 4.24
2020-01-22, 11.84, 2.90
2020-01-23, 11.14, 1.75
2020-01-24, 3.89, 0.88
2020-01-25, 1.30, 0.63
2020-01-26, 0.66, 0.51
2020-01-27, 0.43, 0.42
2020-01-28, 0.32, 0.41
2020-01-29, 0.26, 0.37